Target_Ref,Target_Amount,Transaction_ID,Transaction_Amount,Description
2,20760.83984,OPENSA_0001,0.0,Customer opening
2,20760.83984,SIPBZ24+01237,20760.84,Invoice SIVI24-01243
6,2002.079956,OPENSA_0001,0.0,Customer opening
6,2002.079956,SIPBZ24+01362,2002.08,Invoice SIVI24-01367
7,4818.47998,OPENSA_0001,0.0,Customer opening
7,4818.47998,SIPBZ24+01361,4818.48,Invoice SIVI24-01366
8,918423.0,OPENSA_0056,0.01,Customer opening
8,918423.0,SIPBZ24+01056,918422.99,Invoice SIVI24-01061
9,9070.879883,OPENSA_0001,0.0,Customer opening
9,9070.879883,SIPBZ24+01502,9070.88,Invoice SIVI24-01505
10,23188.9707,OPENSA_0001,0.0,Customer opening
10,23188.9707,SIPBZ24+01478,23188.97,Invoice SIVI24-01480
2,750.0,OPENSA_0231,330.0,Customer opening
2,750.0,OPENSA_0403,420.0,Customer opening
2,20659.40039,OPENSA_0001,0.0,Customer opening
2,20659.40039,SIPBZ24+01168,20659.4,Invoice SIVI24-01174
3,80791.20313,OPENSA_0001,0.0,Customer opening
3,80791.20313,SIPBZ24+00865,80791.2,Invoice SIVI24-00873
4,2012.400024,OPENSA_0001,0.0,Customer opening
4,2012.400024,SIPBZ24+01175,2012.4,Invoice SIVI24-01180
5,132927.5938,SIPBZ24+00246,75351.9,Invoice SIVI24-00257
5,132927.5938,SIPBZ24+00365,57575.7,Invoice SIVI24-00364
6,12674.48047,OPENSA_0001,0.0,Customer opening
6,12674.48047,SIPBZ24+01022,12674.48,Invoice SIVI24-01029
7,12794.59961,SIPBZ24+01169,8586.76,Invoice SIVI24-01176
7,12794.59961,SIPBZ24+01255,4207.84,Invoice SIVI24-01265
8,14235.21973,OPENSA_0001,0.0,Customer opening
8,14235.21973,SIPBZ24+01261,14235.22,Invoice SIVI24-01264
2,75189.78906,SIPBZ24+00975,15343.59,Invoice SIVI24-00982
2,75189.78906,SIPBZ24+01148,59846.2,Invoice SIVI24-01149
3,865.0599976,OPENSA_0001,0.0,Customer opening
3,865.0599976,SIPBZ24+00608,865.06,Invoice SIVI24-00605
4,14830.59961,OPENSA_0001,0.0,Customer opening
4,14830.59961,SIPBZ24+01487,14830.6,Invoice SIVI24-01489
5,42807.60156,OPENSA_0001,0.0,Customer opening
5,42807.60156,SIPBZ24+01365,42807.6,Invoice SIVI24-01370
7,10947.04004,OPENSA_0001,0.0,Customer opening
7,10947.04004,SIPBZ24+00505,10947.04,Invoice SIVI24-00513
8,17486.19922,OPENSA_0001,0.0,Customer opening
8,17486.19922,SIPBZ24+01034,17486.2,Invoice SIVI24-01039
9,4615.799805,OPENSA_0001,0.0,Customer opening
9,4615.799805,SIPBZ24+01482,4615.8,Invoice SIVI24-01484
10,4435.200195,OPENSA_0001,0.0,Customer opening
10,4435.200195,SIPBZ24+01489,4435.2,Invoice SIVI24-01491
11,9012.639648,SIPBZ24+01612,4418.96,Invoice SIVI24-01619
11,9012.639648,SIPBZ24+01618,4593.68,Invoice SIVI24-01627
5,14941.0,SIPBZ24+01894,6521.88,Invoice SIVI24-01898
5,14941.0,SIPBZ24+02087,8419.12,Invoice SIVI24-02089
